,FILE_NAME,POSITION,salary_start,OPEN_DATE,REQUIREMENTS,DUTIES,EXAM_TYPE,notes,EXPERIENCE_LENGTH,FULL_TIME_PART_TIME,EDUCATION_YEARS,SCHOOL_TYPE,DRIVERS_LICENSE_REQ
132,CITY PLANNING ASSOCIATE 7941 110317.txt,city planning associate,"['72,432', '105,903']",2017-11-03,"1.  Graduation from an accredited four-year college or university and four years of full-time paid professional experience in long-range and/or current urban planning; or2.Graduation from an accredited four-year college or university with a major in urban planning, urban studies, urban design, architecture, landscape architecture, geography or a closely-related field and two years of full-time paid professional experience in long-range and/or current urban planning; or3. Two years of full-time paid professional planning experience as a Planning Assistant with the City of Los Angeles.One year of graduate study in Urban Planning or a closely related field with completion of 24 semester units or 36 quarter units may be substituted for up to one year of the required professional planning experience.","A City Planning Associate does professional city planning work in long-range and policy planning, including citywide, community, and neighborhood planning; and project planning, including review, research, analysis, and clearance of land use proposals, development projects, and site plans.",INTERDEPARTMENTAL PROMOTIONAL AND OPEN COMPETITIVE BASIS,":1. Candidates from the eligible list are normally appointed to vacancies in the lower pay grade positions.2. Annual salary is the beginning of the pay range. The current salary range is subject to change. You may confirm the starting salary with the hiring department before accepting a job offer.DUTIESA City Planning Associate does professional city planning work in long-range and policy planning, including citywide, community, and neighborhood planning; and project planning, including review, research, analysis, and clearance of land use proposals, development projects, and site plans.REQUIREMENTS/MINIMUM QUALIFICATIONS1.  Graduation from an accredited four-year college or university and four years of full-time paid professional experience in long-range and/or current urban planning; or2.Graduation from an accredited four-year college or university with a major in urban planning, urban studies, urban design, architecture, landscape architecture, geography or a closely-related field and two years of full-time paid professional experience in long-range and/or current urban planning; or3. Two years of full-time paid professional planning experience as a Planning Assistant with the City of Los Angeles.One year of graduate study in Urban Planning or a closely related field with completion of 24 semester units or 36 quarter units may be substituted for up to one year of the required professional planning experience.PROCESS NOTES1. Applicants who lack six months or less of the required experience may file for this examination. However, they cannot be appointed until the full experience requirement is met.2. Applicants qualifying under Requirement #1 or #2 must list their school name and location, type of degree earned and major in the Education Section of the City application. Applicants who fail to provide this information on their application will not be considered further in this examination and their applications will not be processed. 3. Applicants wishing to substitute education for experience must list their school name and location, appropriate course titles, their respective number of semester or quarter units, and completion dates for each course claimed as qualifying in the text box which will appear in the Supplemental Questions section of the on-line application.4. For qualifying work experience gained outside of the City of Los Angeles, the term ""professional experience"" applies to positions that require possession of a degree from an accredited four-year college or university in order to obtain that position. Therefore, to be considered ""professional,"" non-City qualifying experience must be gained in positions after obtaining a four-year degree.5. Please note that qualifying education must be from a college or university accredited by a City of Los Angeles recognized agency. A list of approved accredited agencies can be found at http://per.lacity.org/Accredited%20Institutions%2008-21-08.pdf.6. Some positions may require a valid California driver's license. Candidates may not be eligible for appointment to these positions if their record within the last 36 months reflects three or more moving violations and/or at-fault accidents, or a conviction of a major moving violation (such as DUI).7. Candidates completing the examination process will be contacted by the Personnel Department to provide required proof of qualifying degree and/or coursework. SELECTIVE CERTIFICATIONIn accordance with Charter Section 1010 (b) and Civil Service Rule 5.31, selective certification will be used for some positions that require special skills and/or training in one or more of the following areas.  Only persons possessing the following as of the close of the filing period may be considered for appointment to fill such positions.1. Two years of full-time paid experience in urban design and/or architecture. An academic degree with a concentration or emphasis specifically focused on urban design or design and development is highly preferred.2. Two years of full-time paid experience in the field of environmental policy and/or environmental analysis. California Environmental Quality Act (CEQA) experience is highly preferred.3. Two years of full-time paid experience in the field of historic preservation, including the implementation and application of the Secretary of the Interior's Standards for the Treatment of Historic Properties, as to proposals affecting historic buildings; or an academic degree with a major or concentration specifically focused on historic preservation or historic preservation planning.NOTE:Those individuals that desire to be considered for Selective Certification 1, 2, and 3, as described above, must respond to the Selective Certification Questionnaire at the time of filing. The Selective Certification Questionnaire is located within the Supplemental Questions of the City application. Applicants who fail to complete the Selective Certification Questionnaire will not be considered further in selective certification.",four,FULL TIME,four,college or university,M
133,CIVIL ENGINEER 7237 020918.txt,civil engineer,"['89,638', '131,064', '97,447', '142,464', '124,486', '154,658', '130,082', '161,611']",2018-02-09,Two years of full-time paid professional engineering experience in a position at the level of Civil Engineering Associate II.  ,"A Civil Engineer performs professional civil engineering work in making engineering studies and assigning, reviewing and evaluating the work of professional and technical employees engaged in the preparation of designs, plans, specifications, estimates, environmental studies, construction financing studies, budgeting, assessment reports, scheduling and reports on major engineering projects or in directing field engineering activities in connection with the construction, contract administration, maintenance, inspection, and operation of a wide variety of engineering projects; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.",INTERDEPARTMENTAL PROMOTIONAL BASIS,":1. For information regarding reciprocity between City of Los Angeles departments and LADWP, go to: For information regarding reciprocity between the City of Los Angeles departments and LADWP, go to http://per.lacity.org/Reciprocity_CityDepts_and_DWP.pdf.2. Annual salary is at the start of the pay range. The current salary range is subject to change. Please confirm the starting salary with the hiring department before accepting a job offer.3. Candidates from the eligible list are normally appointed to vacancies in the lower pay grade positions.DUTIESA Civil Engineer performs professional civil engineering work in making engineering studies and assigning, reviewing and evaluating the work of professional and technical employees engaged in the preparation of designs, plans, specifications, estimates, environmental studies, construction financing studies, budgeting, assessment reports, scheduling and reports on major engineering projects or in directing field engineering activities in connection with the construction, contract administration, maintenance, inspection, and operation of a wide variety of engineering projects; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.REQUIREMENT/MINIMUM QUALIFICATIONTwo years of full-time paid professional engineering experience in a position at the level of Civil Engineering Associate II.  PROCESS NOTES1. Applicants who lack six months or less of the required experience may file for this examination. However, they cannot be appointed until the full experience requirement is met.2. Some positions may require a valid California driver's license. Candidates may not be eligible for appointment to these positions if their record within the last 36 months reflects three or more moving violations and/or at-fault accidents, or a conviction of a major moving violation (such as DUI).3. To be at the level of a Civil Engineering Associate II, an Engineer-in-Training (EIT) certificate is required. Therefore, qualifying experience is gained in positions after obtaining an EIT certificate.4. Registration as a Professional Engineer in civil engineering with the California Board of Professional Engineers, Land Surveyors, and Geologists is required prior to appointment.5. At the time of appointment, candidates must submit to the department which appoints them verification of their Professional Engineer (PE) license. ",two,FULL TIME,zero,No School Type,M
134,CIVIL ENGINEERING ASSOCIATE 7246 061617.txt,civil engineering associate    ,"['66,231', '94,252', '74,082', '105,444', '82,496', '117,345', '89,637', '127,555', '78,905', '98,031', '93,772', '116,489', '101,685', '126,365', '109,327', '135,824']",2017-06-16,"1. A Bachelor's or Master's degree in engineering from an accredited college or university, which includes at least 24 semester units or 36 quarter units of core courses in civil engineering; or2. Certification as an Engineer-In-Training recognized by the State of California Board for Professional Engineers, Land Surveyors, and Geologists; or3. Registration as a Professional Engineer with the State of California Board for Professional Engineers, Land Surveyors, and Geologists.","A Civil Engineering Associate performs professional civil engineering work in researching, checking, computing, conducting field work needed, and working with consultants in the preparation of plans, designs, details, specifications, cost estimates, environmental documentation, and various reports for the construction, maintenance, and operation of a wide variety of civil engineering projects; processes private development plans and development actions; issues engineering permits to the public; and does related work.",OPEN COMPETITIVE BASIS,":1. Candidates from the eligible list are normally appointed to vacancies in the lower pay grade positions.2. For information regarding reciprocity between the City of Los Angeles departments and LADWP, go to http://per.lacity.org/Reciprocity_CityDepts_and_DWP.pdf.3. The current salary range is subject to change. You may confirm the starting salary with the hiring department before accepting a job offer.DUTIESA Civil Engineering Associate performs professional civil engineering work in researching, checking, computing, conducting field work needed, and working with consultants in the preparation of plans, designs, details, specifications, cost estimates, environmental documentation, and various reports for the construction, maintenance, and operation of a wide variety of civil engineering projects; processes private development plans and development actions; issues engineering permits to the public; and does related work.REQUIREMENTS/MINIMUM QUALIFICATIONS1. A Bachelor's or Master's degree in engineering from an accredited college or university, which includes at least 24 semester units or 36 quarter units of core courses in civil engineering; or2. Certification as an Engineer-In-Training recognized by the State of California Board for Professional Engineers, Land Surveyors, and Geologists; or3. Registration as a Professional Engineer with the State of California Board for Professional Engineers, Land Surveyors, and Geologists.PROCESS NOTES1. In addition to the regular City application all applicants must complete the Civil Engineering Associate Qualifications Questionnaire at the time of filing. The Civil Engineering Associate Qualifications Questionnaire is located within the Supplemental Questions of the City Application. Applicants who fail to complete the Qualifications Questionnaire will not be considered further in this examination and their application will not be processed.2. You may take the Civil Engineering Associate interview only once every 365 days from the date you were last added to the eligible list. If you have taken the Civil Engineering Associate interview in a campus environment with any City of Los Angeles department or LADWP, a special recruitment event, or during an open filing period in the Personnel Department within the last 12 months, you may not file for this examination at this time. 3. Applicants who are within six months of graduation from an accredited college or university may apply.  However, you cannot be appointed until you have completed all your course work including the 24 semester units or 36 quarter units described in Requirement No. 1.  4. Applicants qualifying under Requirement #1 must provide the following information on their City application.  Applicants who fail to provide the information will not be considered further in this examination and their applications will not be processed.a. List their school name and location, type of degree earned and major in the Education Section of the online application; andb. Applicants that have completed core courses in civil engineering as stated in the Requirement, must list the course titles with the number of semester or quarter units, school attended and completion dates in the Supplemental Questions Section of the online application.5. Applicants filing under Requirement No. 2 or No. 3 must list their Engineer-in-Training (EIT) certification number or Professional Engineer (PE) license number in the Supplemental Questions Section of the on-line application at the time of filing. Applicants who fail to provide their EIT certification number or PE License number will not be considered further in this examination.6. Appointments will be made to temporary training positions in accordance with Section 5.30 of the Rules of the Board of Civil Service Commissioners for a maximum duration of three years.  In order to successfully complete the temporary training period, new appointees must obtain their Engineer-In-Training (EIT) Certificate within three years.  New appointees who do not successfully complete the temporary training period will be terminated from the class.7. Some positions may require a valid California driver's license. Candidates may not be eligible for appointment to these positions if their record within the last 36 months reflects three or more moving violations and/or at-fault accidents, or a conviction of a major moving violation (such as DUI).8. Please note that qualifying education must be from a college or university accredited by a City of Los Angeles recognized agency. A list of approved accrediting agencies can be found at http://per.lacity.org/Accredited%20Institutions%2008-21-08.pdf.9. Candidates completing the exam process will be contacted by the Personnel Department to provide required proof of qualifying degree.          WHERE TO APPLYApplications and Qualifications Questionnaires will only be accepted on-line at https://www.governmentjobs.com/careers/lacity  for Open Competitive Examinations from 8:00 a.m. TUESDAY, JUNE 27, 2017 to 11:59 p.m., THURSDAY, JUNE 29, 2017. Applications submitted before the start of the filing period will not be accepted. When you are viewing the on-line job bulletin of your choice, simply scroll to the top of the page and select the ""Apply"" icon.    NOTE:Applicants are urged to apply early to ensure you have time to resolve any technical issues you may encounter.",zero,_,zero,college or university,M
135,CIVIL ENGINEERING DRAFTING TECHNICIAN 7232 080417 REVISED 081717.txt,civil engineering drafting technician  ,"['50,759', '74,228', '55,269', '80,826', '66,607', '82,747', '69,363', '86,171', '70,804', '87,988', '72,370', '89,888']",2017-08-04,"1. Completion of 12 semester units or 18 quarter units in Computer Aided Drafting  and  Design (CADD) and completion of one course in Geometry and Trigonometry from a high school, accredited college, university, trade school, or technical school; or2. Two years of full-time paid engineering drafting experience which includes one year of engineering drafting experience and one year of experience using a CADD system. ","A Civil Engineering Drafting Technician performs drafting using a Computer Aided Drafting and Design (CADD) system and other tools, in the preparation of engineering designs, plans, and maps.",INTERDEPARTMENTAL PROMOTIONAL AND AN OPEN COMPETITIVE BASIS,":1. For information regarding reciprocity between the City of Los Angeles departments and LADWP, go to http://per.lacity.org/Reciprocity_CityDepts_and_DWP.pdf.2. Candidates from the eligible list are normally appointed to vacancies in the lower pay grade positions.3. The current salary range is subject to change. You may confirm the starting salary with the hiring department before accepting a job offer.DUTIESA Civil Engineering Drafting Technician performs drafting using a Computer Aided Drafting and Design (CADD) system and other tools, in the preparation of engineering designs, plans, and maps.REQUIREMENTS/MINIMUM QUALIFICATIONS1. Completion of 12 semester units or 18 quarter units in Computer Aided Drafting  and  Design (CADD) and completion of one course in Geometry and Trigonometry from a high school, accredited college, university, trade school, or technical school; or2. Two years of full-time paid engineering drafting experience which includes one year of engineering drafting experience and one year of experience using a CADD system. PROCESS NOTES1. Applicants qualifying under Requirement No. 1 must list their school name and location, appropriate course titles, their respective number of semester or quarter units, and completion dates for each course claimed as qualifying in the text box which will appear in the Supplemental Questions section of the on-line application.2. A combination of course work and experience will not be accepted as meeting the requirements.3. Some positions may require a valid California driver's license. Candidates may not be eligible for appointment to these positions if their record within the last 36 months reflects three or more moving violations and/or at-fault accidents, or a conviction of a major moving violation (such as DUI).4. Please note that qualifying education must be from a college or university accredited by a City of Los Angeles recognized agency.  A list of approved accrediting agencies can be found at http://per.lacity.org/Accredited%20Institutions%2008-21-08.pdf.SELECTIVE CERTIFICATIONIn accordance with Charter Section 1010 (b) and Civil Service Rule 5.31, selective certification will be used for some positions that require special skills and/or training in one or more of the following areas.  Only persons possessing AutoCAD Civil 3D, AutoCAD Map, ArcGIS, Autodesk Revit, Bentley Suite Applications, and/or MicroStation systems skills, training, or experience at the time of filing may be considered for appointment to fill such positions.NOTES:1. Applicants who have proficiency in AutoCAD Civil 3D, AutoCAD Map, ArcGIS, Autodesk Revit, Bentley Suite Applications, and/or MicroStation must indicate this on their City application to be eligible for selective certification.2. Applicants who indicate on their City application possession of skills, training or experience with either AutoCAD Civil 3D, AutoCAD Map, ArcGIS, Autodesk Revit, Bentley Suite Applications, and/or Microstation may be required to participate in a performance test at the time of certification.  In the performance test, candidates may be required to demonstrate their knowledge of and proficiency in the use of AutoCAD Civil 3D, AutoCAD Map, ArcGIS, Autodesk Revit, Bentley Suite Applications, and/or MicroStation. 3. It is anticipated that most positions to be filled from the eligible list will require experience in either AutoCAD or MicroStation.",two,FULL TIME,zero,No School Type,M
136,CLAIMS AGENT 1767 020317.txt,claims agent,"['106,801', '112,752', '110,580', '137,369']",2017-02-03,Two years of full-time paid experience as a Senior Claims Representative or in a class at that level which provides experience in the investigation of personal injury and property damage accidents and claims involving possible liability on the part of the City for damage incurred by citizens or other agencies.,"  A Claims Agent plans, organizes, directs, reviews, evaluates, and supervises the work of Senior Claims Representatives engaged in investing accidents, third party personal injury, and property damage claims involving the Department of Water and Power, or assists with the above work; supervises investigators and associated clerical staff; negotiates settlement claims; assists Department attorneys in litigation cases; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities. ",INTERDEPARTMENTAL PROMOTIONAL BASIS,":1. For information regarding reciprocity between the City of Los Angeles departments and LADWP, go to http://per.lacity.org/Reciprocity_CityDepts_and_DWP.pdf.2. The current salary range is subject to change. You may confirm the starting salary with the hiring department before accepting a job offer.3. Candidates from the eligible list are normally appointed to vacancies in the lower pay grade positions.DUTIES  A Claims Agent plans, organizes, directs, reviews, evaluates, and supervises the work of Senior Claims Representatives engaged in investing accidents, third party personal injury, and property damage claims involving the Department of Water and Power, or assists with the above work; supervises investigators and associated clerical staff; negotiates settlement claims; assists Department attorneys in litigation cases; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities. REQUIREMENT/MINIMUM QUALIFICATIONTwo years of full-time paid experience as a Senior Claims Representative or in a class at that level which provides experience in the investigation of personal injury and property damage accidents and claims involving possible liability on the part of the City for damage incurred by citizens or other agencies.PROCESS NOTES1. Applicants who lack six months or less of the required experience may file for this examination. However, they cannot be appointed until the full experience is met.2. A valid California driver's license is required. Applicants will be disqualified and not eligible for hire if their record within the last 36 months reflects three or more moving violations and/or at-fault accidents, or a conviction of a major moving violation (such as DUI).",two,FULL TIME,zero,No School Type,R
137,COMMERCIAL FIELD REPRESENTATIVE 1600 120718.txt,commercial field representative,"['68,027', '84,543', '69,843', '86,798']",2018-12-07,"1. Two years of full-time paid experience as a Meter Reader or as a Customer Service Representative with the City of Los Angeles, Department of Water and Power; or2. Two-years of full-time paid experience in a class at the level of Senior Administrative Clerk with the City of Los Angeles, Department of Water and Power performing work in conjunction with electric and water services billing, applications for service, deposits, or collections; and working directly with the public on water and electric service requirements, procedures, and related inquiries. ","A Commercial Field Representative reads electric and water meters; explains service requirements and procedures to customers; connects and disconnects water and electric services, enters data into handheld devices; reports field irregularities; resolves customer complaints; makes field collections of utility bills; monitors and dispatches service orders to field personnel; inspects and analyzes field conditions to evaluate illegal use of services and performs related office and field duties as required.Commercial Field Representatives work outdoors in all types of weather and conditions. In addition, Commercial Field Representatives will be required to operate a vehicle in a safe manner and may work overtime including weekends and late evenings as needed.",INTERDEPARTMENTAL PROMOTIONAL BASIS,":1. For information regarding reciprocity between the City of Los Angeles departments and LADWP, go to http://per.lacity.org/Reciprocity_CityDepts_and_DWP.pdf.2. Annual salary is at the start of the pay range. The current salary range is subject to change. Please confirm the starting salary with the hiring department before accepting a job offer.3. Candidates from the eligible list are normally appointed to vacancies in the lower pay grade positions.DUTIESA Commercial Field Representative reads electric and water meters; explains service requirements and procedures to customers; connects and disconnects water and electric services, enters data into handheld devices; reports field irregularities; resolves customer complaints; makes field collections of utility bills; monitors and dispatches service orders to field personnel; inspects and analyzes field conditions to evaluate illegal use of services and performs related office and field duties as required.Commercial Field Representatives work outdoors in all types of weather and conditions. In addition, Commercial Field Representatives will be required to operate a vehicle in a safe manner and may work overtime including weekends and late evenings as needed.REQUIREMENTS/MINIMUM QUALIFICATIONS1. Two years of full-time paid experience as a Meter Reader or as a Customer Service Representative with the City of Los Angeles, Department of Water and Power; or2. Two-years of full-time paid experience in a class at the level of Senior Administrative Clerk with the City of Los Angeles, Department of Water and Power performing work in conjunction with electric and water services billing, applications for service, deposits, or collections; and working directly with the public on water and electric service requirements, procedures, and related inquiries. PROCESS NOTES1. Applicants who lack six months or less of the required experience may file for this examination. However, they cannot be appointed until the full experience requirement is met.2. A valid California driver's license is required. Applicants will be disqualified and not eligible for hire if their record within the last 36 months reflects three or more moving violations and/or at-fault accidents, or a conviction of a major moving violation (such as DUI).",two,FULL TIME,zero,No School Type,R
138,COMMERCIAL FIELD SUPERVISOR 1603 121616.txt,commercial field supervisor ,"['86,025', '106,884']",2016-12-16,1. Two years of full-time paid experience as a Senior Commercial Field Representative with the City of Los Angeles; or2.Two years of full-time paid experience as a Commercial Service Supervisor with the City of Los Angeles.,"A Commercial Field Supervisor assigns, reviews, and evaluates the work of a group of employees engaged in field activities including meter reading, bill collection, turning on and off of water and electrical services, inspection and investigation of water and electrical services, investigation of theft of water and electric services, or employee training and quality assurance activities; applies sound supervisory principles and techniques in building and maintaining an effective work force; interacts with customers in an effort to resolve complex issues; promotes, develops, and enforces safe work practices; and fulfills equal employment opportunity responsibilities.",INTERDEPARTMENTAL PROMOTIONAL BASIS,":1. Candidates from the eligible list are normally appointed to vacancies in the lower pay grade positions.2. The current salary range is subject to change. You may confirm the starting salary with the hiring department before accepting a job offer.3. For information regarding reciprocity between City of Los Angeles departments and LADWP, go to: http://per.lacity.org/Reciprocity_CityDepts_and_DWP.pdf.DUTIESA Commercial Field Supervisor assigns, reviews, and evaluates the work of a group of employees engaged in field activities including meter reading, bill collection, turning on and off of water and electrical services, inspection and investigation of water and electrical services, investigation of theft of water and electric services, or employee training and quality assurance activities; applies sound supervisory principles and techniques in building and maintaining an effective work force; interacts with customers in an effort to resolve complex issues; promotes, develops, and enforces safe work practices; and fulfills equal employment opportunity responsibilities.REQUIREMENTS/MINIMUM QUALIFICATIONS1. Two years of full-time paid experience as a Senior Commercial Field Representative with the City of Los Angeles; or2.Two years of full-time paid experience as a Commercial Service Supervisor with the City of Los Angeles.PROCESS NOTES1. Applicants who lack six months or less of the required experience may file for this examination.  However, they cannot be appointed until the full experience requirement is met.2. A valid California driver's license is required. Applicants will be disqualified and not eligible for hire if their record within the last 36 months reflects three or more moving violations and/or at-fault accidents, or a conviction of a major moving violation (such as DUI).3. Commercial Field Supervisors may be required to utilize their personal vehicle in the performance of their duties.4. Some positions may direct and oversee the operations of field and service center staff in the Owens Valley/Bishop office.",two,FULL TIME,zero,No School Type,R
139,COMMERCIAL SERVICE SUPERVISOR  1213 061617.txt,commercial service supervisor ,"['74,437', '78,592', '75,940', '80,179', '77,610', '81,933', '79,531', '83,958', '81,202', '85,733', '82,998', '87,633', '84,334', '89,032', '86,338', '91,162', '91,955', '97,092']",2017-06-16,"Two years of full-time paid experience with the City of Los Angeles as a Customer Service Representative, Commercial Field Representative, Senior Commercial Field Representative, Electric Service Representative or Water Service Representative.","A Commercial Service Supervisor assigns, reviews and evaluates the work of a group of assigned staff engaged in customer service office work requiring considerable customer contact through multiple communication channels to address issues dealing with billing and collection of customer accounts and service requests in the Customer Service Division in the Department of Water and Power; independently performs difficult customer service-related work, communicates directly with customers to resolve disputes, and may independently manage a Customer Service Center in the community; will handle supervisory tasks which include but are not limited to hiring practices such as conducting interviews and recommending disciplinary actions; applies sound supervisory principles, techniques and employee development processes that are customer-centric through building team work and maintaining an effective and safe work force; and fulfills safety and equal employment opportunity responsibilities. Assignment may also include the responsibility for daily banking activities in the Customer Service Center and Remittance processing Center, including preparing daily deposit for armor pick-up. ",INTERDEPARTMENTAL PROMOTIONAL BASIS,":1. The current salary range is subject to change. You may confirm the starting salary with the hiring department before accepting a job offer.2. For information regarding reciprocity between the City of Los Angeles departments and LADWP, go to http://per.lacity.org/Reciprocity_CityDepts_and_DWP.pdf.3. Candidates from the eligible list are normally appointed to vacancies in the lower pay grade positions.DUTIESA Commercial Service Supervisor assigns, reviews and evaluates the work of a group of assigned staff engaged in customer service office work requiring considerable customer contact through multiple communication channels to address issues dealing with billing and collection of customer accounts and service requests in the Customer Service Division in the Department of Water and Power; independently performs difficult customer service-related work, communicates directly with customers to resolve disputes, and may independently manage a Customer Service Center in the community; will handle supervisory tasks which include but are not limited to hiring practices such as conducting interviews and recommending disciplinary actions; applies sound supervisory principles, techniques and employee development processes that are customer-centric through building team work and maintaining an effective and safe work force; and fulfills safety and equal employment opportunity responsibilities. Assignment may also include the responsibility for daily banking activities in the Customer Service Center and Remittance processing Center, including preparing daily deposit for armor pick-up. REQUIREMENT/MINIMUM QUALIFICATIONTwo years of full-time paid experience with the City of Los Angeles as a Customer Service Representative, Commercial Field Representative, Senior Commercial Field Representative, Electric Service Representative or Water Service Representative.PROCESS NOTES1. Applicants who lack six months or less of the required experience may file for this examination.  However, they cannot be appointed until the full experience requirement is met.2. Some positions may require a valid California driver's license. Candidates may not be eligible for appointment to these positions if their record within the last 36 months reflects three or more moving violations and/or at-fault accidents, or a conviction of a major moving violation (such as DUI).",two,FULL TIME,zero,No School Type,M
140,COMMISSION EXECUTIVE ASSISTANT 9734 092118.txt,commission executive assistant ,"['55,332', '80,930', '70,156', '102,562']",2018-09-21,"Two years of full-time paid experience as a Secretary, or in a class at that level in office clerical work.","A Commission Executive Assistant supervises or performs all administrative and clerical functions for one or more City Commissions or Board Office; maintains the Commission's official public records; prepares or supervises the preparation and distribution of the agenda and minutes of Commission meetings in compliance with the Ralph M. Brown Act; advises the Commission on procedures, precedents and policies; interfaces with, and provides information to the public and/or other City agencies relative to Commission procedures and/or actions; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.",INTERDEPARTMENTAL PROMOTIONAL BASIS,":1. Commission Executive Assistants Il assigned to the Fire, Police and Personnel Departments will receive a bonus of 5.5%.2. Annual salary is at the start of the pay range. The current salary range is subject to change. Please confirm the starting salary with the hiring department before accepting a job offer. 3. Candidates from the eligible list are normally appointed to vacancies in the lower pay grade positions.DUTIESA Commission Executive Assistant supervises or performs all administrative and clerical functions for one or more City Commissions or Board Office; maintains the Commission's official public records; prepares or supervises the preparation and distribution of the agenda and minutes of Commission meetings in compliance with the Ralph M. Brown Act; advises the Commission on procedures, precedents and policies; interfaces with, and provides information to the public and/or other City agencies relative to Commission procedures and/or actions; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.REQUIREMENT/MINIMUM QUALIFICATIONTwo years of full-time paid experience as a Secretary, or in a class at that level in office clerical work.PROCESS NOTES 1. Applicants who lack six months or less of the required experience may file for this examination. However, they cannot be appointed until the full experience requirement is met.2. Some positions may require a valid California driver's license. Candidates may not be eligible for appointment to these positions if their record within the last 36 months reflects three or more moving violations and/or at-fault accidents, or a conviction of a major moving violation (such as DUI).3. Commission Executive Assistant positions may be required to work early/late morning shifts based on department needs. ",two,FULL TIME,zero,No School Type,M
141,COMMUNICATIONS CABLE SUPERVISOR 3800 051917 REVISED 060117.txt,communications cable supervisor,"['72,745', '87,988', '77,401', '93,584', '81,912', '99,054', '115,570', '122,022']",2017-05-19,"Two years of full-time paid experience as a Communications Cable Worker or in a class which is at that level, in the construction, installation, maintenance, and repair of overhead and underground fiber optic cables, lead or plastic sheathed twisted pair communications type of cables of at least 12 pairs, telephone and control lines, and appurtenant equipment containing telephone, data, alarm, carrier, supervisory, telemetry, and control circuits.","A Communications Cable Supervisor assigns, reviews and evaluates the work of Senior Communications Cable Workers, Communications Cable Workers, and Assistant Communications Cable Workers engaged in the performance of a variety of skilled work in the installation, splicing, termination, maintenance, changing, removal, location of trouble, and repair of outside plant and inside plant overhead and underground fiber optic and paired copper communications cables, lines, and appurtenant equipment including the telephone, data, alarm, carrier, supervisory, telemetry, and control circuits contained within these cables and lines; trains subordinate employees; enforces equal employment opportunity and safety policies; works closely with engineering and other work groups involved with design, equipment, materials, methods and procedures; and maintenance of a communications system.",INTERDEPARTMENTAL PROMOTIONAL BASIS,":1. For information regarding reciprocity between the City of Los Angeles departments and LADWP, go to http://per.lacity.org/Reciprocity_CityDepts_and_DWP.pdf.2. The current salary range is subject to change. You may confirm the starting salary with the hiring department before accepting a job offer.3. Candidates from the eligible list are normally appointed to vacancies in the lower pay grade positions.DUTIESA Communications Cable Supervisor assigns, reviews and evaluates the work of Senior Communications Cable Workers, Communications Cable Workers, and Assistant Communications Cable Workers engaged in the performance of a variety of skilled work in the installation, splicing, termination, maintenance, changing, removal, location of trouble, and repair of outside plant and inside plant overhead and underground fiber optic and paired copper communications cables, lines, and appurtenant equipment including the telephone, data, alarm, carrier, supervisory, telemetry, and control circuits contained within these cables and lines; trains subordinate employees; enforces equal employment opportunity and safety policies; works closely with engineering and other work groups involved with design, equipment, materials, methods and procedures; and maintenance of a communications system.REQUIREMENT/ MINIMUM QUALIFICATIONTwo years of full-time paid experience as a Communications Cable Worker or in a class which is at that level, in the construction, installation, maintenance, and repair of overhead and underground fiber optic cables, lead or plastic sheathed twisted pair communications type of cables of at least 12 pairs, telephone and control lines, and appurtenant equipment containing telephone, data, alarm, carrier, supervisory, telemetry, and control circuits.PROCESS NOTES1. In addition to the regular City application, all applicants must complete a Communications Cable Supervisor Qualifications Questionnaire at the time of filing. The Communications Cable Supervisor Qualifications Questionnaire is located within the Supplemental Questions section of the City application. Applicants who fail to complete the Communications Cable Supervisor Qualifications Questionnaire will not be considered further in this examination, and their application will not be processed.2. Candidates must have experience in all of the required duties and equipment to qualify for this exam.3. Applicants who lack six months or less of the above experience may file for this examination.  However, they cannot be appointed until the full experience requirement is met.4. Candidates must have good color vision.5. A valid California driver's license is required.  Applicants will be disqualified and not eligible for hire if their record within the last 36 months  reflects three or more moving violations and/or at-fault accidents, or a conviction of a major moving violation (such as DUI).6. Some positions may require a valid California Class I or Class A driver's license and valid medical certificate prior to appointment.  Applicants must submit a commercial driving history in accordance with the California Department of Motor Vehicles CVC Section 1801.1.  Applicants may not be eligible for appointment to these positions if their record within the last 36 months reflects three or more moving violations and/or at-fault accidents, or a conviction of a major moving violation (such as DUI).",two,FULL TIME,zero,No School Type,R
